date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:41	37724/37724	---M--	200	added ('OK')	text/css	etag:%2268433ca38612d41:0%22	https://getze.us/verify/90eb5adf50a8c640f633d47fd7eb1778_core.css.e985e122421eb92193728ac109757a27.css	E:/sites/orel/getze.us/verify/90eb5adf50a8c640f633d47fd7eb1778_core.css.e985e122421eb92193728ac109757a27.css	(from http://getze.us/forum/)
11:26:42	2960/2960	---M--	200	added ('OK')	text/css	etag:%2249903da38612d41:0%22	https://getze.us/verify/5a0da001ccc2200dc5625c3f3934497d_core_responsive.css.052d48430bac0d3f41f986e8b5e35aa0.css	E:/sites/orel/getze.us/verify/5a0da001ccc2200dc5625c3f3934497d_core_responsive.css.052d48430bac0d3f41f986e8b5e35aa0.css	(from http://getze.us/forum/)
11:26:43	9811/9811	---M--	200	added ('OK')	text/css	etag:%22a7c93ea38612d41:0%22	https://getze.us/verify/62e269ced0fdab7e30e026f1d30ae516_forums.css.a48924238aadaef2438096a70c34aa42.css	E:/sites/orel/getze.us/verify/62e269ced0fdab7e30e026f1d30ae516_forums.css.a48924238aadaef2438096a70c34aa42.css	(from http://getze.us/forum/)
11:26:44	7526/7526	---M--	200	added ('OK')	text/css	etag:%228b1640a38612d41:0%22	https://getze.us/verify/76e62c573090645fb99a15a363d8620e_forums_responsive.css.01c832b1f148f8ed807475fa29d77709.css	E:/sites/orel/getze.us/verify/76e62c573090645fb99a15a363d8620e_forums_responsive.css.01c832b1f148f8ed807475fa29d77709.css	(from http://getze.us/forum/)
11:26:45	23081/23081	---M--	200	added ('OK')	text/css	etag:%221a2c9f528712d41:0%22	https://getze.us/verify/258adbb6e4f3e83cd3b355f84e3fa002_custom.css.4d057bbd0383f6e5f141df0cc330235e.css	E:/sites/orel/getze.us/verify/258adbb6e4f3e83cd3b355f84e3fa002_custom.css.4d057bbd0383f6e5f141df0cc330235e.css	(from http://getze.us/forum/)
11:26:46	3467/3467	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jul%202018%2008:24:36%20GMT	https://getze.us/forum/?_fromLogin=1	E:/sites/orel/getze.us/forum/indexd8a8.html	(from http://getze.us/forum/)
11:26:46	11474/11474	---M--	200	added ('OK')	image/png	etag:%22d28ce290f612d41:0%22	https://getze.us/verify/raw_logo2.png.4718e57caadee8985475a25819362e80.png	E:/sites/orel/getze.us/verify/raw_logo2.png.4718e57caadee8985475a25819362e80.png	(from http://getze.us/forum/)
11:26:47	142/142	---M--	200	added ('OK')	image/png	etag:%2265cd9f5341d8d31:0%22	https://getze.us/forum/uploads/set_resources_2/d0e70b4cbb9ab8afb1bc1065a3f8487a_subitem_stem.png	E:/sites/orel/getze.us/forum/uploads/set_resources_2/d0e70b4cbb9ab8afb1bc1065a3f8487a_subitem_stem.png	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:48	574/574	---M--	200	added ('OK')	image/png	etag:%229d9c9c5341d8d31:0%22	https://getze.us/forum/uploads/set_resources_2/d0e70b4cbb9ab8afb1bc1065a3f8487a_subitem_stem_rtl.png	E:/sites/orel/getze.us/forum/uploads/set_resources_2/d0e70b4cbb9ab8afb1bc1065a3f8487a_subitem_stem_rtl.png	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:48	2764/2764	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/icomoon.eot?v=-29n77j	E:/sites/orel/getze.us/forum/applications/core/interface/font/icomoon2f56.eot	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:49	2764/2764	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/icomoon.eot	E:/sites/orel/getze.us/forum/applications/core/interface/font/icomoon.eot	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:49	2676/2676	---M--	200	added ('OK')	font/x-woff	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/icomoon.woff?v=-29n77j	E:/sites/orel/getze.us/forum/applications/core/interface/font/icomoon2f56.woff	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:50	2600/2600	---M--	200	added ('OK')	application/octet-stream	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/icomoon.ttf?v=-29n77j	E:/sites/orel/getze.us/forum/applications/core/interface/font/icomoon2f56.ttf	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:50	6370/6370	---M--	200	added ('OK')	image/svg+xml	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/icomoon.svg?v=-29n77j	E:/sites/orel/getze.us/forum/applications/core/interface/font/icomoon2f56.svg	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:26:52	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jul%202018%2008:24:41%20GMT	http://getze.us/forum/applications/core/interface/font/fontawesome-webfont.woff2?v=4.7.0	E:/sites/orel/getze.us/forum/applications/core/interface/font/fontawesome-webfont.243e6e.delayed	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:07	98024/98024	---M--	200	added ('OK')	font/x-woff	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/fontawesome-webfont.woff?v=4.7.0	E:/sites/orel/getze.us/forum/applications/core/interface/font/fontawesome-webfont3e6e.woff	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:13	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/fontawesome-webfont.svg?v=4.7.0	E:/sites/orel/getze.us/forum/applications/core/interface/font/fontawesome-webfont3e6e.svg	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:15	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/fontawesome-webfont.eot?v=4.7.0	E:/sites/orel/getze.us/forum/applications/core/interface/font/fontawesome-webfont3e6e.eot	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:17	582/582	---M--	200	added ('OK')	image/png	etag:%221569185441d8d31:0%22	https://getze.us/forum/uploads/set_resources_2/84c1e40ea0e759e3f1505eb1788ddf3c_select_dropdown.png	E:/sites/orel/getze.us/forum/uploads/set_resources_2/84c1e40ea0e759e3f1505eb1788ddf3c_select_dropdown.png	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:17	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/fontawesome-webfont.eot	E:/sites/orel/getze.us/forum/applications/core/interface/font/fontawesome-webfont.eot	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:18	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%220af501b6c5dd31:0%22	http://getze.us/forum/applications/core/interface/font/fontawesome-webfont.ttf?v=4.7.0	E:/sites/orel/getze.us/forum/applications/core/interface/font/fontawesome-webfont3e6e.ttf	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:18	1073/1073	---M--	200	added ('OK')	image/png	etag:%2257748f5541d8d31:0%22	https://getze.us/forum/uploads/set_resources_2/84c1e40ea0e759e3f1505eb1788ddf3c_select_dropdown_rtl.png	E:/sites/orel/getze.us/forum/uploads/set_resources_2/84c1e40ea0e759e3f1505eb1788ddf3c_select_dropdown_rtl.png	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:19	1737/1737	---M--	200	added ('OK')	image/gif	etag:%2252e0db5341d8d31:0%22	https://getze.us/forum/uploads/set_resources_2/cf5a1e7fc191338071d07df134b620d0_tiny_loading.gif	E:/sites/orel/getze.us/forum/uploads/set_resources_2/cf5a1e7fc191338071d07df134b620d0_tiny_loading.gif	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:20	8546/8546	---M--	200	added ('OK')	image/gif	etag:%22fdebd75341d8d31:0%22	https://getze.us/forum/uploads/set_resources_2/cf5a1e7fc191338071d07df134b620d0_tiny_loading@2x.gif	E:/sites/orel/getze.us/forum/uploads/set_resources_2/cf5a1e7fc191338071d07df134b620d0_tiny_loading@2x.gif	(from https://getze.us/verify/341e4a57816af3ba440d891ca87450ff_framework.css.07f5fc8629b089fe04c6dd8d73d0554d.css)
11:27:21	75573/75573	---M--	200	added ('OK')	image/jpeg	etag:%220d2abb7a54d1c86f2a1064b3a614d335%22	https://i.imgur.com/khMUXCX.jpg	E:/sites/orel/i.imgur.com/khMUXCX.jpg	(from https://getze.us/verify/90eb5adf50a8c640f633d47fd7eb1778_core.css.e985e122421eb92193728ac109757a27.css)
11:27:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jul%202018%2008:25:12%20GMT	https://getze.us/robots.txt		(from http://getze.us/forum/)
11:27:23	786211/786211	---M--	200	added ('OK')	image/png	etag:%222cc737d2627f99106850fa3e27b48c4b%22	https://i.imgur.com/PcGwtKl.png	E:/sites/orel/i.imgur.com/PcGwtKl.png	(from https://getze.us/verify/258adbb6e4f3e83cd3b355f84e3fa002_custom.css.4d057bbd0383f6e5f141df0cc330235e.css)
